"year","avg_close_tmn"
"2011","1428.76"
"2012","2283.31"
"2013","3306.80"
"2014","3173.79"
"2015","3367.20"
"2016","3538.89"
"2017","3882.08"
"2018","8674.34"
"2019","12489.29"
"2020","20774.87"
"2021","25887.02"
"2022","30916.83"
"2023","49644.28"
"2024","62082.79"
"2025","89624.24"
