Open Price,Low Price,High Price,Close Price,Change Amount,Change Percent,Gregorian Date,Persian Date
338840,338710,346600,346060,11340,3.39%,2022/11/01,1401/08/10
333590,332900,334900,334720,2270,0.68%,2022/10/31,1401/08/09
330030,329900,332800,332450,2710,0.82%,2022/10/30,1401/08/08
329040,328300,330100,329740,780,0.24%,2022/10/29,1401/08/07
330520,330520,330520,330520,50,0.02%,2022/10/27,1401/08/05
330210,329900,330900,330570,1690,0.51%,2022/10/26,1401/08/04
328800,327800,329000,328880,180,0.05%,2022/10/25,1401/08/03
327940,327710,328900,328700,1070,0.33%,2022/10/24,1401/08/02
327300,326200,328090,327630,490,0.15%,2022/10/23,1401/08/01
328460,327530,329100,328120,1570,0.48%,2022/10/22,1401/07/30
326550,326550,326550,326550,40,0.01%,2022/10/20,1401/07/28
327210,325700,327300,326510,1430,0.44%,2022/10/19,1401/07/27
329410,327900,329600,327940,510,0.16%,2022/10/18,1401/07/26
327020,326400,328600,328450,120,0.04%,2022/10/17,1401/07/25
329710,328300,329900,328570,2640,0.8%,2022/10/16,1401/07/24
329210,328900,331600,331210,1750,0.53%,2022/10/15,1401/07/23
329460,329460,329460,329460,80,0.02%,2022/10/13,1401/07/21
326210,326100,329590,329540,3060,0.94%,2022/10/12,1401/07/20
327070,325600,327600,326480,930,0.28%,2022/10/11,1401/07/19
324950,324720,328200,327410,2500,0.77%,2022/10/10,1401/07/18
323120,320800,325700,324910,1840,0.57%,2022/10/09,1401/07/17
326150,322900,326180,323070,3246,1%,2022/10/08,1401/07/16
327686,323052,330045,326316,4704,1.44%,2022/10/05,1401/07/13
331020,331020,331020,331020,70,0.02%,2022/10/04,1401/07/12
333160,330400,333300,330950,1470,0.44%,2022/10/03,1401/07/11
333530,330700,334600,332420,900,0.27%,2022/10/02,1401/07/10
327310,325700,332600,331520,13040,4.09%,2022/10/01,1401/07/09
318480,318480,318480,318480,40,0.01%,2022/09/29,1401/07/07
318450,318400,318600,318440,1630,0.51%,2022/09/28,1401/07/06
316810,316810,316810,316810,200,0.06%,2022/09/26,1401/07/04
317010,317010,317010,317010,350,0.11%,2022/09/24,1401/07/02
316660,316660,316660,316660,70,0.02%,2022/09/22,1401/06/31
316050,314900,317800,316730,400,0.13%,2022/09/21,1401/06/30
316300,315600,317300,317130,390,0.12%,2022/09/20,1401/06/29
317270,315400,317600,316740,200,0.06%,2022/09/19,1401/06/28
315370,314600,317000,316540,980,0.31%,2022/09/18,1401/06/27
315560,315560,315560,315560,20,0.01%,2022/09/15,1401/06/24
315900,315410,316800,315540,1790,0.57%,2022/09/14,1401/06/23
315720,312100,315900,313750,3310,1.05%,2022/09/13,1401/06/22
310100,309700,317600,317060,7300,2.36%,2022/09/12,1401/06/21
309240,307100,310100,309760,660,0.21%,2022/09/11,1401/06/20
303780,303700,309100,309100,6690,2.21%,2022/09/10,1401/06/19
302410,302410,302410,302410,30,0.01%,2022/09/08,1401/06/17
301410,300900,303100,302380,230,0.08%,2022/09/07,1401/06/16
301150,299700,302600,302150,270,0.09%,2022/09/06,1401/06/15
302040,301100,303100,302420,160,0.05%,2022/09/05,1401/06/14
302370,297410,302500,302260,380,0.13%,2022/09/04,1401/06/13
300920,300900,303300,302640,4170,1.4%,2022/09/03,1401/06/12
298470,298470,298470,298470,560,0.19%,2022/09/01,1401/06/10
298840,298400,299100,299030,500,0.17%,2022/08/31,1401/06/09
302000,299400,302300,299530,950,0.32%,2022/08/30,1401/06/08
296490,295100,298800,298580,1460,0.49%,2022/08/29,1401/06/07
295210,294900,297900,297120,1380,0.47%,2022/08/28,1401/06/06
297270,294900,298600,295740,2011,0.68%,2022/08/27,1401/06/05
298826,295756,303696,297751,631,0.21%,2022/08/24,1401/06/02
291010,290300,291300,290870,2480,0.85%,2022/08/23,1401/06/01
294470,291200,296000,293350,90,0.03%,2022/08/22,1401/05/31
294740,292400,297800,293440,2930,1.01%,2022/08/21,1401/05/30
281220,281200,291080,290510,534,0.18%,2022/08/20,1401/05/29
297067,285887,299265,289976,10374,3.58%,2022/08/17,1401/05/26
298520,297100,299300,297730,4650,1.56%,2022/08/16,1401/05/25
304530,302200,305500,302380,350,0.12%,2022/08/15,1401/05/24
305160,300400,305300,302030,1080,0.36%,2022/08/14,1401/05/23
301390,300100,303300,303110,6916,2.28%,2022/08/13,1401/05/22
310762,306708,315951,310026,1784,0.58%,2022/08/10,1401/05/19
313760,310700,313900,311580,6192,1.99%,2022/08/09,1401/05/18
321385,314403,325627,317772,2618,0.83%,2022/08/05,1401/05/14
314636,311646,317927,315154,84,0.03%,2022/08/03,1401/05/12
314590,311300,315200,311750,4740,1.52%,2022/08/02,1401/05/11
317720,316400,318100,316490,540,0.17%,2022/08/01,1401/05/10
317420,316300,317700,317030,730,0.23%,2022/07/31,1401/05/09
319450,317700,319600,317760,1479,0.47%,2022/07/30,1401/05/08
319136,314157,325623,319239,29,0.01%,2022/07/27,1401/05/05
319310,319300,320100,320050,420,0.13%,2022/07/26,1401/05/04
318640,318500,320300,319630,1150,0.36%,2022/07/25,1401/05/03
320120,318300,320300,318480,1990,0.62%,2022/07/24,1401/05/02
320390,319300,321200,320470,1640,0.51%,2022/07/23,1401/05/01
320470,314710,326910,318830,130,0.04%,2022/07/20,1401/04/29
318180,317400,319100,318000,885,0.28%,2022/07/19,1401/04/28
319705,314420,322774,318885,2375,0.74%,2022/07/16,1401/04/25
321528,315418,328798,322036,1266,0.39%,2022/07/13,1401/04/22
316890,315900,316900,316030,50,0.02%,2022/07/12,1401/04/21
316000,315800,316400,316080,737,0.23%,2022/07/11,1401/04/20
313722,311369,321397,315343,1305,0.42%,2022/07/08,1401/04/17
314226,310583,319442,314038,1478,0.47%,2022/07/06,1401/04/15
317120,314700,317600,315330,1180,0.38%,2022/07/05,1401/04/14
318320,314110,318500,314150,4050,1.29%,2022/07/04,1401/04/13
317160,312100,318400,318200,3690,1.16%,2022/07/03,1401/04/12
326030,320900,326900,321890,451,0.14%,2022/07/02,1401/04/11
319147,313849,326260,321439,1509,0.47%,2022/06/29,1401/04/08
310460,309700,312500,311750,4490,1.46%,2022/06/28,1401/04/07
306670,305600,307900,307260,2140,0.7%,2022/06/27,1401/04/06
310450,304600,311800,305120,8300,2.72%,2022/06/26,1401/04/05
316790,313300,316900,313420,3857,1.23%,2022/06/25,1401/04/04
319489,315658,323514,317277,493,0.16%,2022/06/22,1401/04/01
319690,318600,320300,319780,2930,0.92%,2022/06/21,1401/03/31
318040,316500,318600,316850,250,0.08%,2022/06/20,1401/03/30
318260,316600,318400,317100,300,0.09%,2022/06/19,1401/03/29
319880,316600,320400,316800,968,0.31%,2022/06/18,1401/03/28
318001,316083,324011,317768,818,0.26%,2022/06/15,1401/03/25
319980,315400,320800,315680,5680,1.8%,2022/06/14,1401/03/24
324280,321300,325500,321360,5280,1.64%,2022/06/13,1401/03/23
327820,325600,328500,326640,2760,0.84%,2022/06/12,1401/03/22
322510,321400,331000,329400,8100,2.52%,2022/06/11,1401/03/21
320373,313997,326248,321300,1140,0.36%,2022/06/08,1401/03/18
317870,316600,319500,317030,880,0.28%,2022/06/07,1401/03/17
313370,312100,318390,317910,4976,1.59%,2022/06/06,1401/03/16
315031,306863,318149,312934,74,0.02%,2022/06/01,1401/03/11
310400,309400,315300,315180,5150,1.66%,2022/05/31,1401/03/10
308150,308100,311100,310030,1670,0.54%,2022/05/30,1401/03/09
305910,305800,308900,308360,2700,0.88%,2022/05/29,1401/03/08
303020,302700,306800,305660,1983,0.65%,2022/05/28,1401/03/07
303555,299730,305256,303677,637,0.21%,2022/05/25,1401/03/04
301810,299900,301900,301240,630,0.21%,2022/05/24,1401/03/03
303430,301700,304200,301870,570,0.19%,2022/05/23,1401/03/02
303050,300000,303500,302440,790,0.26%,2022/05/22,1401/03/01
302800,302300,305500,303230,3670,1.23%,2022/05/21,1401/02/31
300319,295695,303652,299560,540,0.18%,2022/05/18,1401/02/28
301990,299800,302000,301120,1200,0.4%,2022/05/17,1401/02/27
305680,302300,305800,302320,3020,1%,2022/05/16,1401/02/26
306340,304000,306600,305340,330,0.11%,2022/05/15,1401/02/25
302300,299000,306000,305670,49770,19.45%,2022/05/14,1401/02/24
255900,255900,255900,255900,100,0.04%,2022/05/12,1401/02/22
255800,255800,255800,255800,19632,7.67%,2022/05/11,1401/02/21
282216,272732,286505,275432,15638,5.68%,2022/05/09,1401/02/19
285540,284900,285700,285460,1810,0.64%,2022/05/08,1401/02/18
284050,283200,284700,283650,3090,1.1%,2022/05/07,1401/02/17
280560,280560,280560,280560,350,0.12%,2022/05/05,1401/02/15
280210,280210,280210,280210,2330,0.83%,2022/05/02,1401/02/12
281650,281100,282600,282540,960,0.34%,2022/05/01,1401/02/11
280950,280900,281900,281580,1780,0.64%,2022/04/30,1401/02/10
279800,279800,279800,279800,1730,0.62%,2022/04/28,1401/02/08
280720,279600,281800,281530,610,0.22%,2022/04/27,1401/02/07
279210,279200,281900,280920,1700,0.61%,2022/04/26,1401/02/06
278350,278300,280600,279220,800,0.29%,2022/04/25,1401/02/05
277740,277000,278800,278420,220,0.08%,2022/04/24,1401/02/04
278640,278640,278640,278640,20,0.01%,2022/04/21,1401/02/01
277490,277400,279200,278620,1160,0.42%,2022/04/20,1401/01/31
275700,275500,278200,277460,1650,0.6%,2022/04/19,1401/01/30
276510,275500,278100,275810,880,0.32%,2022/04/18,1401/01/29
278420,276000,279900,276690,2480,0.9%,2022/04/17,1401/01/28
278920,278900,281400,279170,1260,0.45%,2022/04/16,1401/01/27
277910,277320,277910,277910,-,-,2022/04/14,1401/01/25
277920,277800,278000,277910,260,0.09%,2022/04/13,1401/01/24
281160,277800,281200,278170,2960,1.06%,2022/04/12,1401/01/23
280810,280700,282700,281130,550,0.2%,2022/04/11,1401/01/22
279620,279600,281800,280580,630,0.23%,2022/04/10,1401/01/21
277390,276700,280100,279950,5120,1.86%,2022/04/09,1401/01/20
274830,274830,274830,274830,1200,0.44%,2022/04/07,1401/01/18
273920,273800,277300,276030,2090,0.76%,2022/04/06,1401/01/17
276920,273120,277100,273940,3230,1.18%,2022/04/05,1401/01/16
272220,272200,277400,277170,5220,1.92%,2022/04/04,1401/01/15
269140,269000,272300,271950,810,0.3%,2022/04/03,1401/01/14
271140,271140,271140,271140,120,0.04%,2022/03/31,1401/01/11
270460,269950,271500,271260,760,0.28%,2022/03/30,1401/01/10
271800,269450,272000,270500,70,0.03%,2022/03/29,1401/01/09
267400,267050,270700,270430,3980,1.49%,2022/03/28,1401/01/08
262750,262500,267490,266450,3710,1.41%,2022/03/27,1401/01/07
262210,262100,262750,262740,220,0.08%,2022/03/26,1401/01/06
262120,258420,267840,262520,220,0.08%,2022/03/18,1400/12/27
262300,262300,262300,262300,60,0.02%,2022/03/17,1400/12/26
262060,262050,262300,262240,1530,0.58%,2022/03/16,1400/12/25
262560,262350,264400,263770,90,0.03%,2022/03/15,1400/12/24
263440,263150,265900,263680,920,0.35%,2022/03/14,1400/12/23
262550,261550,263100,262760,1600,0.61%,2022/03/13,1400/12/22
260740,260650,265900,264360,7400,2.88%,2022/03/12,1400/12/21
256960,256960,256960,256960,150,0.06%,2022/03/10,1400/12/19
257770,256570,258300,256810,780,0.3%,2022/03/09,1400/12/18
258750,254850,259000,257590,2790,1.08%,2022/03/08,1400/12/17
258860,258650,262600,260380,2270,0.88%,2022/03/07,1400/12/16
254750,254270,258900,258110,3710,1.46%,2022/03/06,1400/12/15
252610,251250,254400,254400,1750,0.69%,2022/03/05,1400/12/14
256150,256150,256150,256150,80,0.03%,2022/03/03,1400/12/12
255530,255350,257800,256070,3580,1.4%,2022/03/02,1400/12/11
259650,259650,259650,259650,140,0.05%,2022/02/28,1400/12/09
259860,259550,260300,259790,60,0.02%,2022/02/27,1400/12/08
260140,259350,260400,259850,1590,0.61%,2022/02/26,1400/12/07
261440,261440,261440,261440,110,0.04%,2022/02/24,1400/12/05
261690,259850,262100,261550,2060,0.79%,2022/02/23,1400/12/04
262080,259350,262600,259490,1080,0.42%,2022/02/22,1400/12/03
258540,258360,261900,260570,2650,1.03%,2022/02/21,1400/12/02
255380,254850,258400,257920,3750,1.48%,2022/02/20,1400/12/01
258800,254050,258800,254170,8260,3.25%,2022/02/19,1400/11/30
261437,259763,264162,262430,690,0.26%,2022/02/16,1400/11/27
269429,264362,273766,269153,497,0.18%,2022/02/13,1400/11/24
264490,264260,268800,268670,6400,2.44%,2022/02/12,1400/11/23
262270,262270,262270,262270,50,0.02%,2022/02/10,1400/11/21
262390,262150,262400,262320,80,0.03%,2022/02/09,1400/11/20
263690,260650,263700,262240,1720,0.66%,2022/02/08,1400/11/19
262070,259250,262400,260520,4080,1.57%,2022/02/07,1400/11/18
266690,263750,266900,264600,3000,1.13%,2022/02/06,1400/11/17
261170,261050,267800,267600,5050,1.89%,2022/02/05,1400/11/16
272650,272650,272650,272650,160,0.06%,2022/02/03,1400/11/14
273050,271950,274000,272810,270,0.1%,2022/02/02,1400/11/13
273770,272250,274200,272540,2060,0.76%,2022/02/01,1400/11/12
277540,273750,277600,274600,2310,0.84%,2022/01/31,1400/11/11
278810,276350,278990,276910,1910,0.69%,2022/01/30,1400/11/10
277880,277750,279400,278820,1110,0.4%,2022/01/29,1400/11/09
277710,277710,277710,277710,190,0.07%,2022/01/27,1400/11/07
277240,276850,278100,277900,680,0.24%,2022/01/26,1400/11/06
279020,278360,281300,278580,790,0.28%,2022/01/25,1400/11/05
278170,277350,278800,277790,1860,0.67%,2022/01/24,1400/11/04
279300,278850,281400,279650,1960,0.71%,2022/01/23,1400/11/03
274750,274350,277800,277690,2440,0.89%,2022/01/22,1400/11/02
275250,275250,275250,275250,110,0.04%,2022/01/20,1400/10/30
274650,274550,275600,275140,400,0.15%,2022/01/19,1400/10/29
274270,274050,276100,274740,1310,0.48%,2022/01/18,1400/10/28
271870,271250,274600,273430,400,0.15%,2022/01/17,1400/10/27
271690,271550,273290,273030,2050,0.75%,2022/01/16,1400/10/26
276450,273710,276600,275080,8460,3.17%,2022/01/15,1400/10/25
266620,266620,266620,266620,12980,4.87%,2022/01/13,1400/10/23
278450,277350,280280,279600,2510,0.91%,2022/01/12,1400/10/22
280350,276350,280400,277090,3290,1.19%,2022/01/11,1400/10/21
283020,279350,284300,280380,1560,0.56%,2022/01/10,1400/10/20
273650,272390,279100,278820,5070,1.85%,2022/01/09,1400/10/19
279940,273560,281800,273750,9985,3.65%,2022/01/08,1400/10/18
289621,278230,291851,283735,2695,0.95%,2022/01/04,1400/10/14
293180,289570,293600,290320,2330,0.8%,2022/01/03,1400/10/13
294190,292050,294300,292650,2830,0.97%,2022/01/02,1400/10/12
296110,293350,296190,295480,21600,7.89%,2022/01/01,1400/10/11
273880,273880,273880,273880,24300,8.87%,2021/12/30,1400/10/09
297740,297250,299100,298180,1590,0.54%,2021/12/29,1400/10/08
296800,296060,297800,296590,1380,0.47%,2021/12/28,1400/10/07
296810,294650,296900,295210,3360,1.14%,2021/12/27,1400/10/06
298930,298150,299300,298570,800,0.27%,2021/12/26,1400/10/05
298260,297650,299800,299370,761,0.25%,2021/12/25,1400/10/04
300527,295088,302300,300131,599,0.2%,2021/12/22,1400/10/01
302880,300350,303500,300770,1010,0.34%,2021/12/21,1400/09/30
301100,300650,302500,301780,1070,0.36%,2021/12/20,1400/09/29
299480,298650,301800,300710,1610,0.54%,2021/12/19,1400/09/28
297380,297260,299600,299100,24930,9.09%,2021/12/18,1400/09/27
274170,274170,274170,274170,25330,9.24%,2021/12/16,1400/09/25
301810,298850,302400,299500,1840,0.61%,2021/12/15,1400/09/24
305730,301050,305890,301340,880,0.29%,2021/12/14,1400/09/23
294660,294460,302370,302220,4500,1.51%,2021/12/13,1400/09/22
300450,295350,300900,297720,3880,1.3%,2021/12/12,1400/09/21
304030,300050,304100,301600,24560,8.87%,2021/12/11,1400/09/20
277040,277040,277040,277040,30020,10.84%,2021/12/09,1400/09/18
307760,306550,307760,307060,50,0.02%,2021/12/08,1400/09/17
307480,306550,308600,307010,80,0.03%,2021/12/07,1400/09/16
308670,306350,310600,306930,2780,0.91%,2021/12/06,1400/09/15
304920,304550,310090,309710,6330,2.09%,2021/12/05,1400/09/14
303870,302250,305100,303380,30140,11.03%,2021/12/04,1400/09/13
273240,273240,273240,273240,20150,7.37%,2021/12/02,1400/09/11
292350,292050,294000,293390,1490,0.51%,2021/12/01,1400/09/10
289370,289050,292500,291900,1360,0.47%,2021/11/30,1400/09/09
291200,287790,294400,290540,3810,1.31%,2021/11/29,1400/09/08
294250,292950,294900,294350,370,0.13%,2021/11/28,1400/09/07
290650,290550,294800,294720,6640,2.3%,2021/11/27,1400/09/06
288080,288080,288080,288080,1690,0.59%,2021/11/25,1400/09/04
290710,289450,290820,289770,1890,0.65%,2021/11/24,1400/09/03
287400,287150,293070,291660,5220,1.82%,2021/11/23,1400/09/02
285510,285250,286600,286440,2040,0.72%,2021/11/22,1400/09/01
282590,281850,284400,284400,1510,0.53%,2021/11/21,1400/08/30
280370,280130,283400,282890,3910,1.4%,2021/11/20,1400/08/29
278980,278980,278980,278980,2420,0.87%,2021/11/18,1400/08/27
282990,281350,283000,281400,2140,0.76%,2021/11/17,1400/08/26
283860,282750,284000,283540,2060,0.73%,2021/11/16,1400/08/25
279920,279430,281800,281480,1080,0.39%,2021/11/15,1400/08/24
283370,269700,283550,280400,4840,1.73%,2021/11/14,1400/08/23
286510,284900,287480,285240,1000,0.35%,2021/11/13,1400/08/22
284240,284240,284240,284240,-,-,2021/11/11,1400/08/20
283150,283100,284480,284240,480,0.17%,2021/11/10,1400/08/19
281710,281400,283880,283760,2700,0.96%,2021/11/09,1400/08/18
280380,280200,281780,281060,810,0.29%,2021/11/08,1400/08/17
279960,279700,281380,280250,370,0.13%,2021/11/07,1400/08/16
278080,277200,280080,279880,3370,1.22%,2021/11/06,1400/08/15
276510,276510,276510,276510,60,0.02%,2021/11/04,1400/08/13
277140,276300,277280,276570,2410,0.87%,2021/11/03,1400/08/12
275910,275800,279280,278980,2950,1.07%,2021/11/02,1400/08/11
275100,275100,276080,276030,990,0.36%,2021/11/01,1400/08/10
276030,274700,276380,275040,720,0.26%,2021/10/31,1400/08/09
275320,274300,276080,275760,810,0.29%,2021/10/30,1400/08/08
276570,276570,276570,276570,100,0.04%,2021/10/28,1400/08/06
277020,276400,277080,276670,200,0.07%,2021/10/27,1400/08/05
275600,275400,278080,276870,1260,0.46%,2021/10/26,1400/08/04
275030,273900,275780,275610,420,0.15%,2021/10/25,1400/08/03
276030,276030,276030,276030,1880,0.69%,2021/10/23,1400/08/01
274150,274150,274150,274150,60,0.02%,2021/10/21,1400/07/29
273660,273500,274680,274210,1150,0.42%,2021/10/20,1400/07/28
274150,272620,274180,273060,1690,0.62%,2021/10/19,1400/07/27
273570,273400,275380,274750,2220,0.81%,2021/10/18,1400/07/26
271450,271100,273180,272530,720,0.26%,2021/10/17,1400/07/25
272850,271100,272980,271810,940,0.35%,2021/10/16,1400/07/24
270870,270870,270870,270870,170,0.06%,2021/10/14,1400/07/22
272410,270400,272480,270700,970,0.36%,2021/10/13,1400/07/21
270620,270100,272780,271670,1690,0.62%,2021/10/12,1400/07/20
275880,272610,276080,273360,1776,0.65%,2021/10/11,1400/07/19
275796,272907,280346,275136,554,0.2%,2021/10/09,1400/07/17
279320,279320,279320,279320,2040,0.73%,2021/10/06,1400/07/14
281360,281360,281360,281360,20,0.01%,2021/10/04,1400/07/12
280040,279650,281680,281380,920,0.33%,2021/10/03,1400/07/11
281520,279480,281610,280460,4250,1.52%,2021/10/02,1400/07/10
283160,282550,284710,284710,2280,0.81%,2021/09/30,1400/07/08
281470,281270,283210,282430,1870,0.67%,2021/09/29,1400/07/07
277560,277550,280710,280560,3750,1.35%,2021/09/28,1400/07/06
276810,276810,276810,276810,1220,0.44%,2021/09/26,1400/07/04
276560,274850,276810,275590,1220,0.44%,2021/09/25,1400/07/03
275190,275050,276810,276810,1600,0.58%,2021/09/23,1400/07/01
274610,274450,276110,275210,1180,0.43%,2021/09/22,1400/06/31
274450,273650,276310,274030,40,0.01%,2021/09/21,1400/06/30
274590,273650,276310,274070,360,0.13%,2021/09/20,1400/06/29
274130,273350,274510,274430,280,0.1%,2021/09/19,1400/06/28
272900,272850,275010,274710,250,0.09%,2021/09/18,1400/06/27
274460,274460,274460,274460,50,0.02%,2021/09/16,1400/06/25
273570,272150,274510,274510,1340,0.49%,2021/09/15,1400/06/24
272210,272050,274210,273170,3240,1.19%,2021/09/14,1400/06/23
274410,273350,277310,276410,3280,1.2%,2021/09/13,1400/06/22
270510,269050,273210,273130,740,0.27%,2021/09/12,1400/06/21
277110,272250,277210,272390,5880,2.16%,2021/09/11,1400/06/20
278270,278270,278270,278270,140,0.05%,2021/09/09,1400/06/18
276910,276350,279010,278410,1600,0.58%,2021/09/08,1400/06/17
275180,275050,277310,276810,3000,1.1%,2021/09/07,1400/06/16
271720,270750,274010,273810,2690,0.99%,2021/09/06,1400/06/15
270980,269660,271510,271120,450,0.17%,2021/09/05,1400/06/14
271110,270550,272810,270670,2240,0.83%,2021/09/04,1400/06/13
272910,272910,272910,272910,120,0.04%,2021/09/02,1400/06/11
271010,270850,272910,272790,2440,0.9%,2021/09/01,1400/06/10
273310,270050,273410,270350,3930,1.45%,2021/08/31,1400/06/09
273790,272250,274310,274280,3590,1.33%,2021/08/30,1400/06/08
273920,269350,274010,270690,5300,1.96%,2021/08/29,1400/06/07
281890,275490,282040,275990,3000,1.09%,2021/08/28,1400/06/06
278990,278990,278990,278990,-,-,2021/08/26,1400/06/04
279490,277890,280240,278990,500,0.18%,2021/08/25,1400/06/03
277390,276790,280940,278490,2000,0.72%,2021/08/24,1400/06/02
277220,275690,278940,276490,170,0.06%,2021/08/23,1400/06/01
274390,273690,276940,276660,2080,0.76%,2021/08/22,1400/05/31
274500,273490,275440,274580,5590,2.08%,2021/08/21,1400/05/30
268990,268990,268990,268990,100,0.04%,2021/08/17,1400/05/26
269050,268990,269140,269090,40,0.01%,2021/08/16,1400/05/25
268990,268990,269140,269130,60,0.02%,2021/08/15,1400/05/24
263560,263490,269480,269070,4780,1.81%,2021/08/14,1400/05/23
264290,264290,264290,264290,30,0.01%,2021/08/12,1400/05/21
265890,262890,266840,264320,1840,0.7%,2021/08/11,1400/05/20
264770,263790,267630,266160,2970,1.13%,2021/08/10,1400/05/19
258990,258990,263940,263190,4020,1.55%,2021/08/09,1400/05/18
256190,256190,259940,259170,2380,0.93%,2021/08/08,1400/05/17
256290,252390,257440,256790,510,0.2%,2021/08/07,1400/05/16
255628,252713,261636,256280,40,0.02%,2021/08/04,1400/05/13
257190,254690,257340,256240,1090,0.43%,2021/08/03,1400/05/12
255840,255690,258140,257330,2140,0.84%,2021/08/02,1400/05/11
255820,254590,256640,255190,300,0.12%,2021/08/01,1400/05/10
257190,254290,257640,254890,1100,0.43%,2021/07/31,1400/05/09
255990,255990,255990,255990,150,0.06%,2021/07/28,1400/05/06
251690,251690,256240,256140,4420,1.76%,2021/07/27,1400/05/05
250810,250690,252330,251720,1160,0.46%,2021/07/26,1400/05/04
247990,247890,251040,250560,2770,1.12%,2021/07/25,1400/05/03
247630,247490,249640,247790,1510,0.61%,2021/07/24,1400/05/02
246280,246280,246280,246280,1090,0.44%,2021/07/22,1400/04/31
245190,245190,245190,245190,110,0.04%,2021/07/20,1400/04/29
244940,244790,245440,245300,630,0.26%,2021/07/19,1400/04/28
245490,244090,245640,244670,770,0.31%,2021/07/18,1400/04/27
246890,245190,247640,245440,1550,0.63%,2021/07/17,1400/04/26
246990,246990,246990,246990,-,-,2021/07/15,1400/04/24
246190,246190,247940,246990,880,0.36%,2021/07/14,1400/04/23
247590,244990,247640,246110,1380,0.56%,2021/07/13,1400/04/22
249590,247090,249740,247490,2310,0.93%,2021/07/12,1400/04/21
250120,249290,250140,249800,190,0.08%,2021/07/11,1400/04/20
249190,248790,250140,249990,338,0.14%,2021/07/10,1400/04/19
250354,247554,255536,249652,558,0.22%,2021/07/07,1400/04/16
250620,250010,251340,250870,120,0.05%,2021/07/06,1400/04/15
250990,250590,251640,250990,1400,0.56%,2021/07/05,1400/04/14
251310,249490,251340,249590,1910,0.77%,2021/07/04,1400/04/13
254600,251090,254640,251500,10,-,2021/07/03,1400/04/12
251510,251510,251510,251510,20,0.01%,2021/07/01,1400/04/10
253370,250690,253440,251530,2460,0.98%,2021/06/30,1400/04/09
250020,249990,254140,253990,4330,1.73%,2021/06/29,1400/04/08
248890,248890,252040,249660,2580,1.04%,2021/06/28,1400/04/07
246290,246290,248640,247080,340,0.14%,2021/06/27,1400/04/06
243490,243490,246940,246740,4850,2.01%,2021/06/26,1400/04/05
241890,241890,241890,241890,-,-,2021/06/24,1400/04/03
241690,241190,242430,241890,100,0.04%,2021/06/23,1400/04/02
243230,240790,243340,241790,800,0.33%,2021/06/22,1400/04/01
241260,241190,243140,242590,1520,0.63%,2021/06/21,1400/03/31
239790,239190,241440,241070,1580,0.66%,2021/06/20,1400/03/30
234690,234690,240440,239490,4800,2%,2021/06/19,1400/03/29
244290,244290,244290,244290,30,0.01%,2021/06/17,1400/03/27
242040,241950,244640,244320,2510,1.04%,2021/06/16,1400/03/26
240520,239450,242250,241810,1360,0.57%,2021/06/15,1400/03/25
240030,239950,241250,240450,710,0.3%,2021/06/14,1400/03/24
241010,238550,241050,239740,1250,0.52%,2021/06/13,1400/03/23
239050,238940,241250,240990,1760,0.74%,2021/06/12,1400/03/22
239230,239230,239230,239230,60,0.03%,2021/06/10,1400/03/20
240020,239140,240450,239170,2240,0.94%,2021/06/09,1400/03/19
241220,240440,242250,241410,2000,0.84%,2021/06/08,1400/03/18
239350,239140,240250,239410,5080,2.17%,2021/06/07,1400/03/17
234330,234330,234330,234330,3100,1.32%,2021/06/03,1400/03/13
238960,236640,239050,237430,3270,1.4%,2021/06/02,1400/03/12
234000,233970,238660,234160,100,0.04%,2021/06/01,1400/03/11
238590,232950,238660,234060,4510,1.93%,2021/05/31,1400/03/10
234640,234550,238660,238570,3910,1.67%,2021/05/30,1400/03/09
226560,226460,234660,234660,8190,3.62%,2021/05/29,1400/03/08
226470,226470,226470,226470,5920,2.61%,2021/05/27,1400/03/06
232170,231940,232750,232390,240,0.1%,2021/05/26,1400/03/05
231980,231940,234050,232150,910,0.39%,2021/05/25,1400/03/04
231690,230140,239550,231240,1550,0.67%,2021/05/24,1400/03/03
230990,230940,240050,232790,2140,0.93%,2021/05/23,1400/03/02
229040,228940,231050,230650,7650,3.43%,2021/05/22,1400/03/01
223000,223000,223000,223000,7020,3.15%,2021/05/20,1400/02/30
232140,219980,232150,230020,1780,0.78%,2021/05/19,1400/02/29
228690,225940,229550,228240,2910,1.27%,2021/05/18,1400/02/28
228940,228440,232550,231150,2290,1%,2021/05/17,1400/02/27
231490,228340,231850,228860,8360,3.79%,2021/05/16,1400/02/26
220760,220410,221880,220500,5350,2.43%,2021/05/15,1400/02/25
224160,223640,226850,225850,4000,1.8%,2021/05/12,1400/02/22
216080,216080,223410,221850,34,0.02%,2021/05/11,1400/02/21
216356,213024,224100,221816,296,0.13%,2021/05/09,1400/02/19
213460,213440,217050,216460,9980,4.83%,2021/05/08,1400/02/18
206480,206480,206480,206480,10510,5.09%,2021/05/06,1400/02/16
210470,210140,220050,216990,3220,1.48%,2021/05/05,1400/02/15
220210,220140,220250,220210,150,0.07%,2021/05/03,1400/02/13
221830,218540,223050,220360,1350,0.61%,2021/05/02,1400/02/12
227490,218140,228550,221710,10600,4.78%,2021/05/01,1400/02/11
232310,232310,232310,232310,2910,1.25%,2021/04/29,1400/02/09
237170,234940,237230,235220,1990,0.85%,2021/04/28,1400/02/08
237550,236540,237650,237210,540,0.23%,2021/04/27,1400/02/07
